,doc_id,a_annotator,a_relation,b_annotator,b_relation
0,291020230448,Sheridan,"['5', '5', '4', '4', 'elab']",Kate,"['4', '4', '5', '5', 'temp']"
1,291020230448,Sheridan,"['43', '44', '42', '42', 'elab']",Kate,"['40', '42', '43', '44', 'temp']"
2,291020230448,Sheridan,"['44', '44', '43', '43', 'elab']",Kate,"['43', '43', '44', '44', 'temp']"
3,291020230448,Sheridan,"['61', '61', '60', '60', 'elab']",Kate,"['59', '60', '61', '62', 'temp']"
4,17142,Sheridan,"['24', '27', '28', '30', 'temp']",Kate,"['28', '30', '23', '26', 'elab']"
5,51020131202,Kate,"['11', '12', '13', '14', 'elab']",Muskaan,"['11', '12', '13', '14', 'temp']"
6,51020131202,Kate,"['51', '51', '50', '50', 'elab']",Muskaan,"['51', '52', '50', '50', 'temp']"
7,51020131204,Sheridan,"['55', '55', '56', '56', 'tempx']",Muskaan,"['56', '60', '55', '55', 'elabx']"
