,doc_id,a_annotator,a_relation,b_annotator,b_relation
0,11776,Kate,"['13', '13', '14', '14', 'ce']",Muskaan,"['14', '15', '12', '13', 'sim']"
1,11776,Kate,"['24', '26', '11', '23', 'ce']",Muskaan,"['19', '24', '11', '13', 'sim']"
2,51020131202,Kate,"['11', '11', '12', '12', 'sim']",Muskaan,"['11', '11', '12', '12', 'ce']"
3,51020131204,Sheridan,"['58', '58', '59', '59', 'sim']",Muskaan,"['57', '58', '59', '60', 'cex']"
4,30920174441,Sheridan,"['63', '63', '64', '64', 'ce']",Kate,"['63', '63', '64', '64', 'sim']"
