doc_id,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50,topic_51,topic_52,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59,topic_60,topic_61,topic_62,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_69,topic_70,topic_71,topic_72,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_79,topic_80,topic_81,topic_82,topic_83,topic_84,topic_85,topic_86,topic_87,topic_88,topic_89,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,topic_96,topic_97,topic_98,topic_99,topic_100,topic_101,topic_102,topic_103,topic_104,topic_105,topic_106,topic_107,topic_108,topic_109,topic_110,topic_111,topic_112,topic_113,topic_114,topic_115,topic_116,topic_117,topic_118,topic_119,topic_120,topic_121,topic_122,topic_123,topic_124,topic_125,topic_126,topic_127,topic_128,topic_129,topic_130,topic_131,topic_132,topic_133,topic_134,topic_135,topic_136,topic_137,topic_138,topic_139,topic_140,topic_141,topic_142,topic_143,topic_144,topic_145,topic_146,topic_147,topic_148,topic_149,topic_150,topic_151,topic_152,topic_153,topic_154,topic_155,topic_156,topic_157,topic_158,topic_159,topic_160,topic_161,topic_162,topic_163,topic_164,topic_165,topic_166,topic_167,topic_168,topic_169,topic_170,topic_171,topic_172,topic_173,topic_174,topic_175,topic_176,topic_177,topic_178,topic_179,topic_180,topic_181,topic_182,topic_183,topic_184,topic_185,topic_186,topic_187,topic_188,topic_189,topic_190,topic_191,topic_192,topic_193,topic_194,topic_195,topic_196,topic_197,topic_198,topic_199,topic_200,topic_201,topic_202,topic_203,topic_204,topic_205,topic_206,topic_207,topic_208,topic_209,topic_210,topic_211,topic_212,topic_213,topic_214,topic_215,topic_216,topic_217,topic_218,topic_219,topic_220,topic_221,topic_222,topic_223,topic_224,topic_225,topic_226,topic_227,topic_228,topic_229,topic_230,topic_231,topic_232,topic_233,topic_234,topic_235,topic_236,topic_237,topic_238,topic_239,topic_240,topic_241,topic_242,topic_243,topic_244,topic_245,topic_246,topic_247,topic_248,topic_249,topic_250
050121172355.txt,0.0,0.0,0.0,0.0,0.0,0.0,2.4604252737964725,0.0,1.9861817360312257,0.0,0.0,0.0,0.0,0.0,0.0,1.83756919168116,0.0,0.0,0.0,0.0,13.255901762836535,0.0,4.408331117932737,0.0,0.0,0.0,0.0,6.551677070000186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.569787180227402,0.0,0.0,0.0,0.0,0.0,2.1757373905459447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2691892408352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4639683065819262,0.0,0.0,0.0,4.395111855488854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6667397421490495,0.0,0.0,0.0,0.0,3.773812575034116,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.4561942162706156,0.0,0.0,0.0,0.0,0.0,0.0,8.034367371316943,0.0,0.0,3.543416749837495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.494273071256351,0.0,0.0,0.0,0.0,0.0,4.972561487287843,0.0,0,0.0,0.0,8.365562568548905,0.0,4.130610333327629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7800157460619896,0.0,1.4646199357144891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.841454525707012,0.0,0.0,0.0,0.0,0.0,13.221072225324422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.862394620919891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.92004550978152,0.0
050121173101.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7379105561644832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7038750291230358,0.0,0.0,0.0,2.370534808100234,0.0,1.0685845103221618,0.0,0.0,0.0,0.0,4.658570557578029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37376353568633,0.0,0.0,0.0,0.0,0.0,0.0,7.0978425527489515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.723191839855577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7451120758519123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1737158336992164,0.0,0.0,0.0,0.0,3.6586639674240544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7339564742971265,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6874150254225535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.778445756655391,0.0,1.1314302739915918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.9147284126213263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.127027315386876,0.0,0.0,0.0,0.7716017141680125,0.0,0.0,0.0,0,0.0,0.0,3.012451518129976,0.0,0.0,0.0,0.70443010408527,0.0,0.0,0.0,2.475461878872776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38349435146742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.510811966307196,0.0,0.0,0.0,0.0,0.0,4.333193286667244,0.0,0.0,0.0,0.7497210973638314,0.0,0.0,0.7398836279867949,0.0,0.0,0.0,0.0,0.0,1.9132316981110977,0.0,0.0,0.0,1.1126375862813362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.282664209511702,0.0
050121173108.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7878170542219296,6.690051531896598,0.0,0.0,0.0,0.0,0.0,6.4643947491446845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4978103614796139,0.0,0.0,0.0,12.369585353373473,0.0,1.5158665277356418,0.0,0.0,0.0,1.5442003824715882,0.0,0.0,2.2341047379589316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5261399320503266,0.0,0.0,0.0,0.0,1.3616653325140373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3001817388332295,0.0,0.0,0.0,0.0,0.0,0.0,1.438241485000615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8822342288942042,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1251592420677445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.106888414782192,0.0,0.0,2.2777395886825316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.447982840935852,0.0,1.5844046586350697,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.436898600846892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.648362901892622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2455302806992903,0.0,2.0325169203719438,0.0,0.0,0.0,0.0,5.210297783562427,0.0,0.0,0.0,0.0,0.0,4.1205085872069755,0.0,3.393768410911766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4190895374622539,0.0,0.0,0.0,0.0,0.0,0.0,1.9056828657862184,0.0,0.0,0.0,0.0,0.0,0.0,5.30384276469874,0.0,0.0
050121173310.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.632700285878569,0.0,0.0,2.1544573933070037,0.0,1.9356574650128453,2.462691087900438,0.0,0.0,0.0,7.368829168743422,0.0,0.0,2.109659495356485,0.0,2.422001087806573,0.0,7.558878086199069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.400272944433391,8.325076305047032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.647782546655584,0.0,4.519907867486999,0.0,0.0,0.0,0.0,0.0,5.02606688133184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.147821117043027,0.0,1.8647461743149811,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5812565216907215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.443898671378923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.483849143644307,0.0,5.000983374915208,0.0,0.0,10.152409320814629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.224809041905387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1965483372798063,0.0,0.0,0.0,0.0,0.0,14.933693562577023,0.0,1.9503917786490106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1398860441866816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.161695560199066,0.0
091120113021.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.328821484011414,0.0,0.0,0.0,1.411222182477103,0.0,1.4393985612179954,0.0,0.0,0.0,2.2641643867140644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3353157455687295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4888151870426345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.032300738051965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.335024790278358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.134875734534997,0.0,0.0,0.0,0,0.0,0.0,0.0,2.82585521843966,0.0,0.0,0.0,0.0,0.0,0.0,4.787850452057131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258510489521175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8846759985848953,0.0,0.0,0.0,0.0,0,10.462523467961406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.991814621442082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4334930734226,0.0,1.5534186809444575,0.0,1.7027588063001269,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0054210395644105,0.0,0.0,3.3048747029689793,0.0,0.0,0.0,3.018292980508675,0.0,0.0,0.0,0.0,4.018892345238993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7251054567127644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5178055497786906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.321705868419912,0.0,0.0,0.0,0.0,0.0,2.168999710918885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
091120113025.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.534889951727048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.443820630313777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3943960298325986,1.2211258712894493,0.0,3.8892522162078125,2.534147039365102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.266706236470585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5893896619473338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.957827583813062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.224497013763454,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.306864897570341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.445519372796824,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3040537572824242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0386993346493165,0.0,0.0,0.0,0.0,0.0,5.326389443906619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.851261152559316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2300371807027515,0.0,0.0,0.0,0.0,5.724999244962907,0.0
091120113028.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.255693091067505,0.0,0.0,6.223416236696869,0.0,0.0,0.0,0.0,0.0,4.636929639718971,5.4378542850146765,4.3175116630734065,0.0,5.6484497512497205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.940822333847755,4.1485809740405415,0.0,0.0,0.0,0.0,6.557978297624642,0.0,0.0,0.0,46.84445031446725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.593060058633168,0.0,0.0,0.0,5.873886103053193,0.0,0.0,4.27369061806167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.415512069464807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.226082928681691,0.0,0.0,10.635978839107855,0.0,16.468037722624764,0.0,9.112845982519763,0.0,0.0,0.0,10.744580095966413,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.048081816749647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5375639014936064,0.0,0.0,0.0,11.858041226820374,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4068187066148905,0.0,0.0,0.0,0,0.0,0.0,14.555715932958154,0.0,0.0,0.0,0.0,9.811037456033764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5314647327081685,0.0,0.0,0.0,0.0,0.0,0.0,7.740045102606597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.781306020025154,36.641725294986976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.012936403764726,0.0,0.0,0.0,0.0,0.0,8.206579931460292,0.0,0.0,0.0,4.385110365450213,0.0,0.0,6.081562539468051,8.676752804365432,0.0,0.0
091120113031.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6992098928534645,0.0,0.0,7.795106589219801,1.9060627784056137,2.2772690953788346,0.0,0.0,0.0,0.0,4.494401546504057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.540688718567716,0.0,0.0,0.0,2.5923254135465297,0.0,0.0,0.0,0.0,0.0,1.8696264090117392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9542116958125721,2.9664978630848275,0.0,0.0,0.0,0.0,0.0,0.0,1.38107455591638,0.0,0.0,0.0,0.0,0.0,5.5281673047674005,0.0,0.0,6.72940279628165,0.0,0.0,0.0,0.0,9.325613647822472,1.56999975595513,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.273720744256985,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.373729784866578,0.0,0.0,0.0,0.0,0.0,4.493906122816163,1.3915434924582573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.555483589456335,0.0,0.0,2.332058662696497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.647904136106924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9740359816667192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.592408390509595,3.8761310854909374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.358836693580056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.493331257249218,2.09061531395193
091120113036.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48094187030577,0.0,0.0,1.7583570107581632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9097206062981313,1.6799689295704783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2808100434360599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6444219354090155,0.0,0.0,0.0,0.0,0.0,0.0,2.3093568558108437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7601835579655007,0.0,0.0,0.0,0.0,0.0,10.950225201047514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7967311574250617,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7387505487566657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2793301817422607,0.0,0.0,0.9079115710529957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.812875516334007,0.0,0.0,0.0,0.0,0.0,0.0,13.240544251910165,0.0,0.0,0.0,5.7180827048516605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4486508311984383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3699777361144845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
091120113037.txt,0.0,0.7827201213482008,0.0,0.0,0.0,0.8152521175294002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2630749036495317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.744970513808259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0963558234477613,0.0,0.0,0.0,0.0,0.0,2.036857864567104,0.0,0.0,0.0,0.7085094607885413,0.0,0.0,0.0,0.0,1.5810435007411419,0.0,0.0,0.6338101973090465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3578321747606854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.987030046985838,0.0,0.0,0.0,0.7890426829857753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.642397546763096,0.0,7.8131948550032995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0581654067883677,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7510242891683039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9405065517801605,0.0,0.0,0.0,0.0,0.0,0.0,0,0.8108119508805638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.83141895943658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.521911295228295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8606590771754838,3.26258713044224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
