doc_id,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50,topic_51,topic_52,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59,topic_60,topic_61,topic_62,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_69,topic_70,topic_71,topic_72,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_79,topic_80,topic_81,topic_82,topic_83,topic_84,topic_85,topic_86,topic_87,topic_88,topic_89,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,topic_96,topic_97,topic_98,topic_99,topic_100,topic_101,topic_102,topic_103,topic_104,topic_105,topic_106,topic_107,topic_108,topic_109,topic_110,topic_111,topic_112,topic_113,topic_114,topic_115,topic_116,topic_117,topic_118,topic_119,topic_120,topic_121,topic_122,topic_123,topic_124,topic_125,topic_126,topic_127,topic_128,topic_129,topic_130,topic_131,topic_132,topic_133,topic_134,topic_135,topic_136,topic_137,topic_138,topic_139,topic_140,topic_141,topic_142,topic_143,topic_144,topic_145,topic_146,topic_147,topic_148,topic_149,topic_150
050121172355.txt,0.0,0.0,0.0,0.0,0.0,0.0,2.26409968660071,0.0,0.0,0.0,0.0,19.969628772257366,0.0,0.0,0.0,0.0,2.0731161201349586,0.0,0.0,0.0,0.0,0.0,1.9116901431012383,2.8232842190865295,2.6855724812008694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1444562812516454,0.0,2.9089372690845865,0.0,0.0,0.0,0.0,0.0,3.38105883285344,9.445928700682051,0.0,7.833613242978532,0.0,0.0,0.0,0.0,2.114118992698976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.934492291047924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.472941511534614,0.0,3.8169560727561067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.048306383996147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.28197270700701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.252456385005728,0.0,0.0,0.0,0.0,0.0,2.510172656690793,0.0,0.0,0.0,0.0,0.0,1.9601948820363713,0.0,18.01734176398969,0.0,0.0,0.0,0.0,0.0,0.0,8.374002821490087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.249530969363055
050121173101.txt,0.9326782155603475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253576186416279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7340869230399852,0.0,0.0,0.0,0.0,2.3829568818853035,3.406914706911446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.241329637287984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.769759480646512,0.0,3.946253842506282,4.954694027894291,0.0,1.5926256386854878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9035750076647392,0.0,5.19423175727455,0.0,0.0,0.0,0.0,0.7505505401548808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.559029773603643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.949379543176513,0.0,2.2767131851780165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.760702197882965,0.0,0.0,0.0,0.0,0.0,0.0,1.4810490072258948,0.0,0.0,1.3063070062960735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0246934118631699,0.0,1.9411015155259135,0.0,0.0,0.0,0.0,0.0,0.7542775327005357,0.0,0.0,0.0
050121173108.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.593467659171337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.500763486722892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.130511013165734,0.0,1.4868260359042798,0.0,1.4701349460257644,0.0,0.0,0.0,0.0,0.0,0.0,4.794061534933834,0.0,3.1450057363313,0.0,0.0,0.0,3.2815669643756245,0.0,0.0,0.0,5.540388524207914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.259825711035158,0.0,0.0,0.0,0.0,0.0,0.0,5.071990591665385,0.0,0.0,6.274565108552018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9263647784040523,0.0,0.0,0.0,0.0,2.8263682778578114,3.691257069130327,0.0,1.8107185155302108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.901749524894516,0.0,3.7726985977220058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2471326315507754,0.0,0.0,2.7175250194981975,0.0,0.0,0.0,0.0,0.0,0.0,5.740729473067493,0.0,0.0,1.794953302649768,11.806939486275166,0.0,0.0,0.0,1.9947386764317308,0.0,1.4758138542798733,0.0,0.0,5.078858478332666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
050121173310.txt,4.029004462649651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.23120166418349,0.0,0.0,0.0,0.0,2.045021708821499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.749756476372596,0.0,0.0,0.0,7.811758655233218,0.0,12.318386775319238,0.0,0.0,0.0,0.0,0.0,0.0,11.904690670065754,0.0,8.913421481612955,0.0,0.0,0.0,7.509853221616227,7.504627534671069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.377243400813967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.622087200082849,0.0,3.0989797136107624,0.0,2.591721730721,0.0,7.217137957670271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.995754860479662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.88763124766364,0.0,0.0,0.0,3.747634038543046,0.0,0.0,4.308935057164948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
091120113021.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.076940759298347,0.0,0.0,0.0,1.3295553811897844,2.818835583406595,0.0,1.6840383599366437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.312327567700278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4923965529371175,0.0,0.0,0.0,0.0,0.0,0.0,8.908809320577943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.399535541099367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56816921595328,0.0,2.902624076297882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.55195661184191,7.871504906660287,0.0,1.5105536988986494,0.0,1.4833902815016367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.86187002091548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.075349917856789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.145772459949727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.610910938423235,0.0,0.0,0.0,0.0,3.387058481625339,1.3583375435551819,0.0,0.0,0.0
091120113025.txt,1.7066277243492922,0.0,1.6927008778298986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.512793773422362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9388940117188795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6556479972795803,0.0,2.757291320033752,0.0,0.0,0.0,8.365549417586623,0.0,0.0,4.748419288882251,0.0,8.68194047298294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.920240447419948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7783552033372794,0.0,0.0,0.0,0.0,0.0,1.4636826940577505,0.0,1.4688995362150703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.73016462006066,0.0,0.0,0.0,0.0,0.0,0.0,10.122844703950145,0.0,0.0,0.0,0.0,0.0,1.174024856511347,0.0,0.0,0.0
091120113028.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.262500543004489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.06515149668743,0.0,0.0,0.0,0.0,0.0,32.46770735961694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.513847483449347,10.36300002731408,0.0,0.0,0.0,5.545150737662418,0.0,0.0,0.0,0.0,0.0,4.7441161460921,0.0,0.0,0.0,0.0,35.453262580098354,0.0,0.0,9.45331918472903,0.0,11.56491381971515,0.0,0.0,0.0,0.0,15.802518007054738,0.0,5.569985741063568,12.69727183997237,0.0,0.0,6.846405269823912,5.122079715769162,12.91751113073766,0.0,0.0,0.0,0.0,0.0,46.55185175540812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.468006798541505,0.0,32.06337035106924,0.0,0.0,0.0,0.0,18.54318255044139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.417886017531697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.541289487414373,0.0,0.0,0.0,0.0,0.0,0.0,6.891411514651209,5.274796400906806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.487731265033786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.20793814322999,0.0,0.0,0.0,0.0,0.0,6.870983090614244,0.0
091120113031.txt,1.9419266022506125,1.8674853112812013,0.0,1.313691903874468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.338326040725943,0.0,0.0,0.0,0.0,0.0,1.5929714604343175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.282411021280776,0.0,0.0,0.0,0.0,3.4097262234442196,0.0,0.0,1.595251052133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2808772467611687,0.0,3.0161461381098045,15.411293643297764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.578816686958578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3924923837465935,0.0,0.0,0.0,13.486497497907802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.84030210741285,0.0,0.0,0.0,0.0,0.0,7.671435007266247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.63879386464122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2327664961976366,0.0,2.9158460127019743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.132576743544405,0.0,7.376804304069453,0.0,0.0,0.0,2.691064125024351,0.0,0.0,0.0
091120113036.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9851276620863865,2.5738458191480937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6396895640061777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.975363214208574,0.0,0.0,0.0,5.588046566937301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.676879787732169,0.0,0.0,0.0,0.0,0.8818330311968423,0.0,0.0,0.0,0.0,0.0,0.0,3.240819441022396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.31157614486459,0.0,0.0,1.8882723762882299,0.0,0.0,2.3127245474066243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
091120113037.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8117436164379178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6108159474579662,0.0,2.1147434638297335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3885089837679927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8681927853655643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4370633676317612,2.4277693003503344,26.691899838186927,0.0,0.0,0.0,1.9521592237059413,0.0,0.0,0.0,1.263843779846909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6456582246869127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.043039909206425,0.0,0.0,0.0,0.0,0.0,0.0,1.3410638425488577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9441400480451905,0.8828031437181383,0.0,1.1809590576904128,0.0,0.0,0.0,0.0,0.0,0.0,1.4465180222560667,2.094692131085582,0.0,2.842212416517018,0.0,0.0,0.0,0.8880157055143274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
