news_doc_id,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50
51020131151.txt,2.005932405591011,0.0,12.77331168949604,0.0,4.040029048919678,15.64362719655037,21.4327272772789,12.264577686786652,3.711003426462412,0.0,0.0,0.0,0.0,0.0,0.0,26.617360711097717,0.0,0.0,8.877466723322868,8.745455503463745,0.0,0.0,0.0,0.0,0.0,0.0,2.787565430626273,21.139383926987648,3.006632722914219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.210199624300003,2.3062790166586637,0.0,0.0,9.10725137591362,0.0,0.0,4.289158817380667,0.0,0.0,0.0,4.440410740673542,0.0,0.0
51020131153.txt,0.0,0.0,8.955663319677114,0.0,0.0,10.823072992265224,37.20966589450836,8.98243634775281,0.0,0.0,0.0,0.0,2.327839219942689,0.0,0.0,31.14571577310562,0.0,0.0,4.4291350319981575,5.598254956305027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.652409709990025,0.0,0.0,0.0,0.0,0.0,3.63231654278934,0.0,0.0,3.485105412080884,0.0,0.0,11.575789913535118,0.0,0.0,0.0,0.0,0.0,0.0,2.071372887119651,0.0,0.0,0.0
51020131143.txt,5.044644143432379,0.0,0.0,0.0,0.0,4.772608648985624,11.828360348939896,7.165876105427742,1.8703914899379015,2.35870329849422,0.0,0.0,0.0,0.0,7.8755500093102455,43.84277880191803,4.80956806987524,0.0,4.010020840913057,42.04371124505997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.188515812158585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.737219154834747,0.0,0.0,5.8486509919166565,0.0,0.0,2.064233908429742,0.0,0.0,0.0,2.3240106347948313,0.0,0.0
30920174438.txt,0.0,0.0,0.0,2.880385424941778,0.0,13.935110718011856,12.172861397266388,7.600200176239014,2.9066892340779305,0.0,2.357554715126753,0.0,20.143284648656845,0.0,0.0,25.438807904720306,0.0,0.0,6.609931401908398,0.0,0.0,0.0,0.0,3.600786253809929,0.0,0.0,1.8345757853239775,24.613192677497864,0.0,0.0,0.0,0.0,0.0,3.345415648072958,0.0,0.0,4.030845500528812,3.4750107675790787,0.0,4.442083463072777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5645483043044806,0.0,0.0
51020131156.txt,0.0,0.0,0.0,0.0,0.0,6.789271235466003,13.115360736846924,18.8110089302063,0.0,5.631861090660095,0.0,0.0,0.0,0.0,8.303861618041992,55.252394676208496,0.0,0.0,3.2582131028175354,3.775191307067871,0.0,0.0,0.0,0.0,0.0,2.7882766723632812,4.0101054310798645,10.037448406219482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8679775297641754,0.0,0.0,0.0,0.0,4.056368172168732,0.0,2.2197191417217255,0.0,0.0,3.02077054977417,2.0114871859550476,0.0,0.0
051020131142.txt,0.0,1.2192652747035027,4.678930789232254,1.3067876547574997,0.0,3.464801385998726,6.349406540393829,3.8194486498832703,1.0868202522397041,0.0,0.0,3.676358386874199,2.23613440990448,0.0,1.1469478905200958,11.657390892505646,0.0,0.0,0.6317511387169361,8.470718264579773,0.0,0.0,0.0,0.0,0.0,0.0,0.6761900335550308,2.3540950566530228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9423000365495682,0.6442180462181568,0.0,0.0,0.0,0.0,0.0,0.9481985494494438,0.0,0.0,0.0
091120113028.txt,0.0,0.0,6.641935296356678,0.0,4.7878350876271725,32.64781296253204,36.618415862321854,17.26668171584606,26.649184077978134,0.0,4.060457702726126,4.39362583681941,19.23118643462658,0.0,0.0,36.993430852890015,8.918238803744316,0.0,7.182534225285053,0.0,11.21983289718628,0.0,0.0,4.237241242080927,15.461492612957954,0.0,0.0,10.266833417117596,0.0,0.0,0.0,0.0,0.0,0.0,9.941128380596638,0.0,18.087387457489967,10.010852850973606,4.835601672530174,19.964328184723854,34.894100576639175,0.0,0.0,11.120946146547794,0.0,0.0,0.0,0.0,0.0,0.0
291020230442.txt,0.0,1.319993482902646,3.5225874558091164,1.411227760836482,0.0,26.304514557123184,5.847667269408703,3.2024509459733963,3.913705386221409,0.0,0.0,0.0,6.2523180060088634,0.0,0.0,5.247158333659172,0.0,0.0,3.610984683036804,0.0,2.3836402874439955,0.0,0.0,0.0,0.0,0.0,0.0,3.9354465901851654,2.8777699917554855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1920122392475605,2.047773264348507,0.0,1.1529109301045537,0.0,0.0,0.0,22.543758004903793,0.0,0.0,0.0
050121173310.txt,0.0,3.963226718828082,27.352319106459618,0.0,0.0,39.28517472743988,9.70917945727706,5.277225827798247,11.223083846271038,2.688082695007324,0.0,0.0,3.9342766255140305,0.0,0.0,9.766664434224367,0.0,0.0,5.812204051762819,33.05072441697121,2.5021896846592426,0.0,0.0,0.0,3.5184929659590125,0.0,0.0,12.375673785805702,0.0,0.0,0.0,0.0,2.6264638025313616,0.0,0.0,0.0,0.0,10.77689241990447,4.460486821830273,3.5849258806556463,13.598249811679125,0.0,0.0,0.0,0.0,0.0,2.816445275209844,3.530993018299341,0.0,0.0
291020230455.txt,10.287012185901403,3.6390223000198603,10.20896253734827,0.0,0.0,19.571410074830055,10.891700241714716,7.306434381753206,5.772797524929047,0.0,0.0,0.0,7.859856441617012,0.0,1.8231047121807933,6.638726998120546,0.0,0.0,4.918780513107777,38.5567192286253,2.2977123241871595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0780043806880713,0.0,0.0,2.5806607585400343,0.0,0.0,5.5573371928185225,6.630320779979229,0.0,19.188915349543095,3.4809352327138186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
