,doc_id,a_annotator,a_relation,b_annotator,b_relation
0,51020131204,Sheridan,"['25', '28', '22', '24', 'elabx']",Muskaan,"['24', '25', '26', '26', 'deg']"
1,51020131204,Sheridan,"['26', '26', '25', '25', 'elab']",Muskaan,"['24', '25', '26', '26', 'deg']"
2,51020131204,Sheridan,"['45', '45', '46', '47', 'elab']",Muskaan,"['47', '49', '45', '46', 'deg']"
3,51020131204,Sheridan,"['47', '47', '46', '46', 'elab']",Muskaan,"['47', '49', '45', '46', 'deg']"
4,51020131204,Sheridan,"['48', '49', '46', '47', 'elab']",Muskaan,"['47', '49', '45', '46', 'deg']"
5,51020131204,Sheridan,"['70', '73', '69', '69', 'deg']",Muskaan,"['70', '72', '69', '69', 'elabx']"
6,30920174446,Kate,"['48', '48', '49', '49', 'elab']",Muskaan,"['49', '49', '48', '48', 'deg']"
