,doc_id,a_annotator,a_relation,b_annotator,b_relation
0,51020131204,Sheridan,"['34', '35', '33', '33', 'elab']",Muskaan,"['34', '35', '33', '33', 'examp']"
1,17142,Sheridan,"['11', '11', '10', '10', 'examp']",Kate,"['11', '11', '10', '10', 'elab']"
2,11776,Kate,"['28', '29', '27', '27', 'elab']",Muskaan,"['28', '30', '26', '27', 'examp']"
3,30920174448,Sheridan,"['3', '3', '2', '2', 'examp']",Muskaan,"['3', '3', '2', '2', 'elabx']"
4,30920174448,Sheridan,"['12', '16', '7', '11', 'elab']",Muskaan,"['13', '14', '7', '10', 'exampx']"
5,51020131206,Kate,"['62', '63', '64', '66', 'elab']",Muskaan,"['64', '66', '59', '62', 'examp']"
6,51020131206,Kate,"['3', '6', '0', '2', 'elab']",Muskaan,"['3', '6', '1', '2', 'examp']"
7,30920174446,Kate,"['32', '32', '30', '30', 'elab']",Muskaan,"['32', '32', '28', '31', 'examp']"
